id,device_id,device_name,device_model,forward_speed,turning_speed,vertical_speed,horizontal_speed,status,battery_level,current_map,current_location,wheel_diameter,distance_between_wheels,length,width,height,lifting_height,distance,created_at,updated_at
1,rob1,rob1,V1,100,100,0,0,working,46,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-01-27T14:27:18.707427,2026-02-18T19:04:21.822586
2,rob2,rob2,V1,100,100,0,0,working,100,19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-01-27T14:27:44.041233,2026-02-18T19:04:21.827858
3,rob3,rob3,V1,100,100,0,0,working,19,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2026-01-27T14:27:44.041233,2026-02-18T17:37:16.607220
